Q3,Q4,Q5,Q6,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q8,Q9_1,VD1_1,VD2_1,VD2_2,VD2_3,VD2_4,VD2_5,TA
23,Masculino,Maestría,"Zona 3: Barranco, Jesús María, La Molina, Lince, Magdalena del Mar, Miraflores, Pueblo Libre, San Borja, San Isidro, San Miguel, Santiago de Surco y Surquillo",Diariamente,Diariamente,Algunas veces al año,Algunas veces al año,Diariamente,"Recibe contenido político (información, memes, opiniones, etc.),Comparte contenido político (información, memes, opiniones, etc.)",7,2,Totalmente en desacuerdo,Totalmente en desacuerdo,Ligeramente de acuerdo,Ligeramente de acuerdo,Totalmente de acuerdo,Observadas
31,Femenino,Educación Superior Técnica,"Zona 3: Barranco, Jesús María, La Molina, Lince, Magdalena del Mar, Miraflores, Pueblo Libre, San Borja, San Isidro, San Miguel, Santiago de Surco y Surquillo",Nunca,Algunas veces a la semana,Nunca,Diariamente,Algunas veces a la semana,"Recibe contenido político (información, memes, opiniones, etc.)",7,5,Ni en acuerdo ni en desacuerdo,Ni en acuerdo ni en desacuerdo,Ni en acuerdo ni en desacuerdo,Ni en acuerdo ni en desacuerdo,Ni en acuerdo ni en desacuerdo,
22,Masculino,Educación Superior Universitaria,"Zona 3: Barranco, Jesús María, La Molina, Lince, Magdalena del Mar, Miraflores, Pueblo Libre, San Borja, San Isidro, San Miguel, Santiago de Surco y Surquillo",Algunas veces al mes,Algunas veces a la semana,Algunas veces a la semana,Algunas veces a la semana,Algunas veces a la semana,"Recibe contenido político (información, memes, opiniones, etc.)",6,6,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Ni en acuerdo ni en desacuerdo,Totalmente en desacuerdo,Observadas
31,Femenino,Educación Superior Universitaria,"Zona 3: Barranco, Jesús María, La Molina, Lince, Magdalena del Mar, Miraflores, Pueblo Libre, San Borja, San Isidro, San Miguel, Santiago de Surco y Surquillo",Nunca,Algunas veces al año,Algunas veces a la semana,Diariamente,Diariamente,"Recibe contenido político (información, memes, opiniones, etc.)",8,5,Totalmente en desacuerdo,Ligeramente en desacuerdo,Ligeramente de acuerdo,Ni en acuerdo ni en desacuerdo,Totalmente de acuerdo,
22,Femenino,Educación Superior Universitaria,"Zona 3: Barranco, Jesús María, La Molina, Lince, Magdalena del Mar, Miraflores, Pueblo Libre, San Borja, San Isidro, San Miguel, Santiago de Surco y Surquillo",Nunca,Nunca,Nunca,Algunas veces a la semana,Algunas veces a la semana,"Recibe contenido político (información, memes, opiniones, etc.)",10,5,Ligeramente en desacuerdo,Totalmente en desacuerdo,Ligeramente de acuerdo,Totalmente de acuerdo,Ligeramente de acuerdo,
28,Femenino,Educación Superior Universitaria,"Zona 3: Barranco, Jesús María, La Molina, Lince, Magdalena del Mar, Miraflores, Pueblo Libre, San Borja, San Isidro, San Miguel, Santiago de Surco y Surquillo",Algunas veces a la semana,Nunca,Algunas veces al mes,Diariamente,Algunas veces al mes,"Recibe contenido político (información, memes, opiniones, etc.),Comparte contenido político (información, memes, opiniones, etc.),Crea contenido político (información, memes, opiniones, etc.)",1,9,Ni en acuerdo ni en desacuerdo,Ligeramente de acuerdo,Totalmente en desacuerdo,Ligeramente en desacuerdo,Totalmente en desacuerdo,
24,Femenino,Educación Superior Universitaria,"Zona 3: Barranco, Jesús María, La Molina, Lince, Magdalena del Mar, Miraflores, Pueblo Libre, San Borja, San Isidro, San Miguel, Santiago de Surco y Surquillo",Algunas veces a la semana,Diariamente,Algunas veces a la semana,Diariamente,Diariamente,"Recibe contenido político (información, memes, opiniones, etc.)",4,5,Ni en acuerdo ni en desacuerdo,Ni en acuerdo ni en desacuerdo,Ni en acuerdo ni en desacuerdo,Ni en acuerdo ni en desacuerdo,Ni en acuerdo ni en desacuerdo,Observadas
22,Femenino,Educación Superior Universitaria,"Zona 3: Barranco, Jesús María, La Molina, Lince, Magdalena del Mar, Miraflores, Pueblo Libre, San Borja, San Isidro, San Miguel, Santiago de Surco y Surquillo",Nunca,Algunas veces al año,Algunas veces al mes,Diariamente,Nunca,"Recibe contenido político (información, memes, opiniones, etc.),Comparte contenido político (información, memes, opiniones, etc.)",5,5,Ligeramente en desacuerdo,Ligeramente en desacuerdo,Totalmente en desacuerdo,Ligeramente de acuerdo,Totalmente en desacuerdo,Observadas
31,Femenino,Maestría,"Zona 3: Barranco, Jesús María, La Molina, Lince, Magdalena del Mar, Miraflores, Pueblo Libre, San Borja, San Isidro, San Miguel, Santiago de Surco y Surquillo",Nunca,Nunca,Nunca,Algunas veces a la semana,Nunca,"Recibe contenido político (información, memes, opiniones, etc.)",7,8,Ni en acuerdo ni en desacuerdo,Totalmente en desacuerdo,Ni en acuerdo ni en desacuerdo,Ligeramente de acuerdo,Ligeramente en desacuerdo,
47,Masculino,Educación Superior Universitaria,"Zona 6: Bellavista, Callao, Carmen de la Legua, La Perla, La Punta, Ventanilla y Mi Perú",Diariamente,Diariamente,Diariamente,Diariamente,Diariamente,"Recibe contenido político (información, memes, opiniones, etc.)",,8,Ligeramente de acuerdo,Ni en acuerdo ni en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Ni en acuerdo ni en desacuerdo,Observadas
22,Masculino,Educación Superior Universitaria,"Zona 3: Barranco, Jesús María, La Molina, Lince, Magdalena del Mar, Miraflores, Pueblo Libre, San Borja, San Isidro, San Miguel, Santiago de Surco y Surquillo",Nunca,Diariamente,Diariamente,Diariamente,Nunca,"Recibe contenido político (información, memes, opiniones, etc.),Comparte contenido político (información, memes, opiniones, etc.)",8,6,Ni en acuerdo ni en desacuerdo,Ligeramente en desacuerdo,Ligeramente en desacuerdo,Ni en acuerdo ni en desacuerdo,Ni en acuerdo ni en desacuerdo,Observadas
46,Masculino,Educación Superior Universitaria,"Zona 6: Bellavista, Callao, Carmen de la Legua, La Perla, La Punta, Ventanilla y Mi Perú",Algunas veces al año,Algunas veces a la semana,Algunas veces al año,Algunas veces al año,Nunca,"Recibe contenido político (información, memes, opiniones, etc.)",5,5,Ni en acuerdo ni en desacuerdo,Ni en acuerdo ni en desacuerdo,Ni en acuerdo ni en desacuerdo,Ni en acuerdo ni en desacuerdo,Ni en acuerdo ni en desacuerdo,
45,Masculino,Educación Superior Técnica,"Zona 3: Barranco, Jesús María, La Molina, Lince, Magdalena del Mar, Miraflores, Pueblo Libre, San Borja, San Isidro, San Miguel, Santiago de Surco y Surquillo",Diariamente,Diariamente,Diariamente,Diariamente,Diariamente,"Recibe contenido político (información, memes, opiniones, etc.)",5,3,Ligeramente de acuerdo,Totalmente en desacuerdo,Ligeramente de acuerdo,Ligeramente de acuerdo,Totalmente en desacuerdo,Observadas
47,Masculino,Educación Superior Universitaria,"Zona 3: Barranco, Jesús María, La Molina, Lince, Magdalena del Mar, Miraflores, Pueblo Libre, San Borja, San Isidro, San Miguel, Santiago de Surco y Surquillo",Diariamente,Diariamente,Diariamente,Diariamente,Nunca,"Comparte contenido político (información, memes, opiniones, etc.)",10,10,Totalmente en desacuerdo,Totalmente en desacuerdo,Ni en acuerdo ni en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,
48,Masculino,Educación Superior Universitaria,"Zona 3: Barranco, Jesús María, La Molina, Lince, Magdalena del Mar, Miraflores, Pueblo Libre, San Borja, San Isidro, San Miguel, Santiago de Surco y Surquillo",Diariamente,Nunca,Algunas veces al mes,Nunca,Nunca,"Recibe contenido político (información, memes, opiniones, etc.)",5,10,Totalmente en desacuerdo,Ligeramente de acuerdo,Totalmente en desacuerdo,Ligeramente de acuerdo,Totalmente en desacuerdo,
22,Femenino,Educación Superior Universitaria,"Zona 3: Barranco, Jesús María, La Molina, Lince, Magdalena del Mar, Miraflores, Pueblo Libre, San Borja, San Isidro, San Miguel, Santiago de Surco y Surquillo",Diariamente,Algunas veces al mes,Nunca,Diariamente,Algunas veces al mes,"Recibe contenido político (información, memes, opiniones, etc.),Comparte contenido político (información, memes, opiniones, etc.)",2,7,Ligeramente en desacuerdo,Ligeramente de acuerdo,Totalmente en desacuerdo,Ni en acuerdo ni en desacuerdo,Ligeramente de acuerdo,
47,Masculino,Educación Superior Universitaria,"Zona 3: Barranco, Jesús María, La Molina, Lince, Magdalena del Mar, Miraflores, Pueblo Libre, San Borja, San Isidro, San Miguel, Santiago de Surco y Surquillo",Nunca,Diariamente,Diariamente,Diariamente,Algunas veces a la semana,"Recibe contenido político (información, memes, opiniones, etc.)",10,1,Totalmente en desacuerdo,Ligeramente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Observadas
47,Masculino,Educación Superior Universitaria,"Zona 3: Barranco, Jesús María, La Molina, Lince, Magdalena del Mar, Miraflores, Pueblo Libre, San Borja, San Isidro, San Miguel, Santiago de Surco y Surquillo",Nunca,Algunas veces al mes,Algunas veces al mes,Nunca,Nunca,"Recibe contenido político (información, memes, opiniones, etc.)",7,3,Ni en acuerdo ni en desacuerdo,Totalmente en desacuerdo,Ligeramente de acuerdo,Totalmente de acuerdo,Ni en acuerdo ni en desacuerdo,Observadas
31,Femenino,Educación Superior Universitaria,"Zona 3: Barranco, Jesús María, La Molina, Lince, Magdalena del Mar, Miraflores, Pueblo Libre, San Borja, San Isidro, San Miguel, Santiago de Surco y Surquillo",Nunca,Algunas veces al año,Nunca,Algunas veces al mes,Nunca,"Recibe contenido político (información, memes, opiniones, etc.),Comparte contenido político (información, memes, opiniones, etc.)",5,5,Ni en acuerdo ni en desacuerdo,Ligeramente en desacuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,
47,Masculino,Educación Superior Universitaria,"Zona 3: Barranco, Jesús María, La Molina, Lince, Magdalena del Mar, Miraflores, Pueblo Libre, San Borja, San Isidro, San Miguel, Santiago de Surco y Surquillo",Diariamente,Diariamente,Diariamente,Diariamente,Diariamente,"Recibe contenido político (información, memes, opiniones, etc.),Comparte contenido político (información, memes, opiniones, etc.)",8,1,Ni en acuerdo ni en desacuerdo,Ligeramente de acuerdo,Ligeramente en desacuerdo,Ligeramente de acuerdo,Ni en acuerdo ni en desacuerdo,Observadas
47,Masculino,Educación Superior Técnica,"Zona 6: Bellavista, Callao, Carmen de la Legua, La Perla, La Punta, Ventanilla y Mi Perú",Nunca,Diariamente,Algunas veces al mes,Nunca,Algunas veces a la semana,"Recibe contenido político (información, memes, opiniones, etc.)",10,1,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Ligeramente en desacuerdo,
47,Masculino,Educación Superior Técnica,"Zona 6: Bellavista, Callao, Carmen de la Legua, La Perla, La Punta, Ventanilla y Mi Perú",Algunas veces a la semana,Algunas veces al año,Algunas veces al mes,Nunca,Nunca,"Recibe contenido político (información, memes, opiniones, etc.)",5,5,Totalmente en desacuerdo,Ni en acuerdo ni en desacuerdo,Ligeramente en desacuerdo,Ligeramente en desacuerdo,Totalmente en desacuerdo,Observadas
48,Masculino,Educación Superior Universitaria,"Zona 3: Barranco, Jesús María, La Molina, Lince, Magdalena del Mar, Miraflores, Pueblo Libre, San Borja, San Isidro, San Miguel, Santiago de Surco y Surquillo",Algunas veces al mes,Algunas veces a la semana,Nunca,Nunca,Diariamente,"Recibe contenido político (información, memes, opiniones, etc.),Comparte contenido político (información, memes, opiniones, etc.)",10,1,Ligeramente en desacuerdo,Totalmente de acuerdo,Ligeramente de acuerdo,Totalmente de acuerdo,Ligeramente en desacuerdo,Observadas
47,Masculino,Educación Superior Universitaria,"Zona 6: Bellavista, Callao, Carmen de la Legua, La Perla, La Punta, Ventanilla y Mi Perú",Nunca,Diariamente,Diariamente,Diariamente,Nunca,"Recibe contenido político (información, memes, opiniones, etc.)",5,1,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Ligeramente de acuerdo,Totalmente en desacuerdo,
23,Masculino,Educación Superior Universitaria,"Zona 1: Ancón, Carabayllo, Comas, Independencia, Los Olivos, Puente Piedra, San Martín de Porres y Santa Rosa",Diariamente,Algunas veces al año,Nunca,Algunas veces a la semana,Algunas veces al año,"Recibe contenido político (información, memes, opiniones, etc.)",2,8,Totalmente de acuerdo,Ni en acuerdo ni en desacuerdo,Totalmente en desacuerdo,Ni en acuerdo ni en desacuerdo,Totalmente en desacuerdo,
22,Femenino,Educación Superior Universitaria,"Zona 3: Barranco, Jesús María, La Molina, Lince, Magdalena del Mar, Miraflores, Pueblo Libre, San Borja, San Isidro, San Miguel, Santiago de Surco y Surquillo",Algunas veces a la semana,Algunas veces a la semana,Algunas veces al mes,Algunas veces a la semana,Algunas veces al mes,"Recibe contenido político (información, memes, opiniones, etc.),Comparte contenido político (información, memes, opiniones, etc.)",4,6,Ligeramente de acuerdo,Ligeramente de acuerdo,Totalmente en desacuerdo,Ligeramente en desacuerdo,Totalmente en desacuerdo,
22,Masculino,Educación Superior Universitaria,"Zona 4: Ate-Vitarte, Chaclacayo, Cieneguilla, El Agustino, Lurigancho (Chosica), San Juan de Lurigancho y Santa Anita",Algunas veces a la semana,Nunca,Nunca,Algunas veces al año,Algunas veces al mes,"Recibe contenido político (información, memes, opiniones, etc.),Comparte contenido político (información, memes, opiniones, etc.)",3,7,Ligeramente de acuerdo,Ligeramente de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Observadas
32,Femenino,Educación Superior Universitaria,"Zona 3: Barranco, Jesús María, La Molina, Lince, Magdalena del Mar, Miraflores, Pueblo Libre, San Borja, San Isidro, San Miguel, Santiago de Surco y Surquillo",Nunca,Algunas veces a la semana,Nunca,Algunas veces a la semana,Nunca,"Recibe contenido político (información, memes, opiniones, etc.)",8,1,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Observadas
35,Masculino,Educación Superior Técnica,"Zona 3: Barranco, Jesús María, La Molina, Lince, Magdalena del Mar, Miraflores, Pueblo Libre, San Borja, San Isidro, San Miguel, Santiago de Surco y Surquillo",Nunca,Nunca,Algunas veces a la semana,Diariamente,Nunca,"Recibe contenido político (información, memes, opiniones, etc.),Comparte contenido político (información, memes, opiniones, etc.)",7,5,Ligeramente en desacuerdo,Ligeramente en desacuerdo,Totalmente en desacuerdo,Ligeramente en desacuerdo,Ligeramente en desacuerdo,
46,Masculino,Educación Superior Universitaria,"Zona 3: Barranco, Jesús María, La Molina, Lince, Magdalena del Mar, Miraflores, Pueblo Libre, San Borja, San Isidro, San Miguel, Santiago de Surco y Surquillo",Nunca,Diariamente,Diariamente,Diariamente,Diariamente,"Recibe contenido político (información, memes, opiniones, etc.)",10,1,Ligeramente de acuerdo,Ligeramente en desacuerdo,Ligeramente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Observadas
47,Masculino,Maestría,"Zona 3: Barranco, Jesús María, La Molina, Lince, Magdalena del Mar, Miraflores, Pueblo Libre, San Borja, San Isidro, San Miguel, Santiago de Surco y Surquillo",Nunca,Algunas veces al mes,Algunas veces al mes,Algunas veces al mes,Nunca,"Recibe contenido político (información, memes, opiniones, etc.),Comparte contenido político (información, memes, opiniones, etc.),Crea contenido político (información, memes, opiniones, etc.)",9,1,Ligeramente de acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,
22,Femenino,Educación Superior Universitaria,"Zona 3: Barranco, Jesús María, La Molina, Lince, Magdalena del Mar, Miraflores, Pueblo Libre, San Borja, San Isidro, San Miguel, Santiago de Surco y Surquillo",Diariamente,Algunas veces al mes,Algunas veces a la semana,Algunas veces a la semana,Algunas veces a la semana,"Recibe contenido político (información, memes, opiniones, etc.),Comparte contenido político (información, memes, opiniones, etc.)",3,7,Totalmente de acuerdo,Ligeramente de acuerdo,Totalmente en desacuerdo,Ligeramente en desacuerdo,Totalmente en desacuerdo,Observadas
47,Masculino,Educación Superior Universitaria,"Zona 6: Bellavista, Callao, Carmen de la Legua, La Perla, La Punta, Ventanilla y Mi Perú",Diariamente,Algunas veces a la semana,Algunas veces a la semana,Algunas veces al mes,Algunas veces al mes,"Recibe contenido político (información, memes, opiniones, etc.)",7,6,Totalmente en desacuerdo,Ligeramente en desacuerdo,Ligeramente de acuerdo,Ligeramente de acuerdo,Ligeramente en desacuerdo,
47,Masculino,Educación Superior Universitaria,"Zona 3: Barranco, Jesús María, La Molina, Lince, Magdalena del Mar, Miraflores, Pueblo Libre, San Borja, San Isidro, San Miguel, Santiago de Surco y Surquillo",Nunca,Algunas veces al mes,Nunca,Algunas veces al mes,Algunas veces a la semana,"Recibe contenido político (información, memes, opiniones, etc.)",2,5,Ligeramente en desacuerdo,Ligeramente en desacuerdo,Ni en acuerdo ni en desacuerdo,Ligeramente en desacuerdo,Ligeramente en desacuerdo,
40,Femenino,Educación Superior Universitaria,"Zona 3: Barranco, Jesús María, La Molina, Lince, Magdalena del Mar, Miraflores, Pueblo Libre, San Borja, San Isidro, San Miguel, Santiago de Surco y Surquillo",Algunas veces al mes,Algunas veces a la semana,Algunas veces a la semana,Algunas veces a la semana,Algunas veces al mes,"Recibe contenido político (información, memes, opiniones, etc.)",7,1,Ligeramente de acuerdo,Totalmente en desacuerdo,Ligeramente de acuerdo,Ligeramente de acuerdo,Totalmente en desacuerdo,
47,Masculino,Educación Superior Universitaria,"Zona 3: Barranco, Jesús María, La Molina, Lince, Magdalena del Mar, Miraflores, Pueblo Libre, San Borja, San Isidro, San Miguel, Santiago de Surco y Surquillo",Diariamente,Diariamente,Diariamente,Diariamente,Diariamente,"Recibe contenido político (información, memes, opiniones, etc.)",7,4,Ligeramente en desacuerdo,Ligeramente en desacuerdo,Ligeramente de acuerdo,Ligeramente de acuerdo,Totalmente en desacuerdo,Observadas
28,Masculino,Educación Superior Universitaria,"Zona 1: Ancón, Carabayllo, Comas, Independencia, Los Olivos, Puente Piedra, San Martín de Porres y Santa Rosa",Algunas veces al mes,Algunas veces al mes,Algunas veces a la semana,Diariamente,Nunca,"Recibe contenido político (información, memes, opiniones, etc.)",3,6,Ligeramente de acuerdo,Ligeramente en desacuerdo,Totalmente en desacuerdo,Ligeramente de acuerdo,Totalmente en desacuerdo,Observadas
47,Masculino,Educación Superior Universitaria,"Zona 3: Barranco, Jesús María, La Molina, Lince, Magdalena del Mar, Miraflores, Pueblo Libre, San Borja, San Isidro, San Miguel, Santiago de Surco y Surquillo",Diariamente,Algunas veces al mes,Algunas veces a la semana,Algunas veces a la semana,Algunas veces al mes,"Recibe contenido político (información, memes, opiniones, etc.),Comparte contenido político (información, memes, opiniones, etc.)",10,1,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Observadas
46,Masculino,Educación Superior Técnica,"Zona 3: Barranco, Jesús María, La Molina, Lince, Magdalena del Mar, Miraflores, Pueblo Libre, San Borja, San Isidro, San Miguel, Santiago de Surco y Surquillo",Algunas veces a la semana,Diariamente,Algunas veces a la semana,Diariamente,Algunas veces a la semana,"Recibe contenido político (información, memes, opiniones, etc.)",6,9,Ligeramente de acuerdo,Ligeramente en desacuerdo,Ligeramente en desacuerdo,Ni en acuerdo ni en desacuerdo,Totalmente en desacuerdo,
46,Femenino,Maestría,"Zona 3: Barranco, Jesús María, La Molina, Lince, Magdalena del Mar, Miraflores, Pueblo Libre, San Borja, San Isidro, San Miguel, Santiago de Surco y Surquillo",Algunas veces a la semana,Nunca,Algunas veces a la semana,Nunca,Nunca,"Recibe contenido político (información, memes, opiniones, etc.)",5,3,Ligeramente en desacuerdo,Totalmente en desacuerdo,Ligeramente de acuerdo,Totalmente de acuerdo,Ni en acuerdo ni en desacuerdo,
52,Masculino,Educación Superior Universitaria,"Zona 6: Bellavista, Callao, Carmen de la Legua, La Perla, La Punta, Ventanilla y Mi Perú",Algunas veces a la semana,Algunas veces a la semana,Algunas veces a la semana,,Algunas veces al mes,"Recibe contenido político (información, memes, opiniones, etc.),Comparte contenido político (información, memes, opiniones, etc.)",7,6,Ligeramente en desacuerdo,Ligeramente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,
35,Femenino,Educación Superior Universitaria,"Zona 3: Barranco, Jesús María, La Molina, Lince, Magdalena del Mar, Miraflores, Pueblo Libre, San Borja, San Isidro, San Miguel, Santiago de Surco y Surquillo",Nunca,Nunca,Nunca,Algunas veces al mes,Nunca,"Recibe contenido político (información, memes, opiniones, etc.)",2,1,Ni en acuerdo ni en desacuerdo,Totalmente en desacuerdo,Ligeramente de acuerdo,Totalmente de acuerdo,Ni en acuerdo ni en desacuerdo,Observadas
47,Masculino,Educación Superior Universitaria,"Zona 6: Bellavista, Callao, Carmen de la Legua, La Perla, La Punta, Ventanilla y Mi Perú",Nunca,Diariamente,Algunas veces a la semana,Algunas veces a la semana,Algunas veces a la semana,"Recibe contenido político (información, memes, opiniones, etc.)",6,6,Ligeramente de acuerdo,Ligeramente en desacuerdo,Ligeramente de acuerdo,Ni en acuerdo ni en desacuerdo,Totalmente de acuerdo,
50,Masculino,Maestría,"Zona 3: Barranco, Jesús María, La Molina, Lince, Magdalena del Mar, Miraflores, Pueblo Libre, San Borja, San Isidro, San Miguel, Santiago de Surco y Surquillo",Nunca,Diariamente,Algunas veces al mes,Nunca,Algunas veces al año,"Recibe contenido político (información, memes, opiniones, etc.)",7,1,Ligeramente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,
46,Masculino,Maestría,"Zona 3: Barranco, Jesús María, La Molina, Lince, Magdalena del Mar, Miraflores, Pueblo Libre, San Borja, San Isidro, San Miguel, Santiago de Surco y Surquillo",Nunca,Algunas veces a la semana,Nunca,Nunca,Nunca,"Recibe contenido político (información, memes, opiniones, etc.)",5,4,Ligeramente en desacuerdo,Totalmente en desacuerdo,Ligeramente de acuerdo,Ligeramente de acuerdo,Ligeramente en desacuerdo,Observadas
44,Masculino,Maestría,"Zona 3: Barranco, Jesús María, La Molina, Lince, Magdalena del Mar, Miraflores, Pueblo Libre, San Borja, San Isidro, San Miguel, Santiago de Surco y Surquillo",Nunca,Nunca,Algunas veces al mes,Algunas veces al mes,Nunca,"Recibe contenido político (información, memes, opiniones, etc.),Comparte contenido político (información, memes, opiniones, etc.)",7,1,Totalmente en desacuerdo,Totalmente en desacuerdo,Ligeramente en desacuerdo,Ligeramente de acuerdo,Ligeramente en desacuerdo,
